"मिट्टी_प्रकार,मौसम,फसल,बीज_दर,सिंचाई_आवश्यकता,उर्वरक_आवश्यकता"
"दोमट,खरीफ,धान,25 kg/acre,8-10 सिंचाई,NPK 80:40:40"
"दोमट,रबी,गेहूं,40 kg/acre,4-5 सिंचाई,NPK 120:60:40"
"बलुआ,खरीफ,मक्का,8 kg/acre,5-6 सिंचाई,NPK 100:50:50"
"चिकनी,रबी,सरसों,4 kg/acre,3-4 सिंचाई,NPK 80:40:40"
"दोमट,गर्मी,मूंगफली,40 kg/acre,6-7 सिंचाई,NPK 60:30:30"
"बलुआ,खरीफ,मूंग,8 kg/acre,3-4 सिंचाई,NPK 40:20:20"
"चिकनी,रबी,चना,30 kg/acre,2-3 सिंचाई,NPK 40:60:40"
"दोमट,खरीफ,कपास,2 kg/acre,6-8 सिंचाई,NPK 120:60:60"
"बलुआ,गर्मी,तरबूज,1 kg/acre,5-6 सिंचाई,NPK 60:30:30"
"दोमट,रबी,आलू,800 kg/acre,6-7 सिंचाई,NPK 150:75:75"
"बलुआ,खरीफ,ज्वार,10 kg/acre,4-5 सिंचाई,NPK 80:40:40"
"चिकनी,रबी,जौ,35 kg/acre,3-4 सिंचाई,NPK 100:50:50"
"दोमट,गर्मी,मूंग,10 kg/acre,3-4 सिंचाई,NPK 40:20:20"
"बलुआ,खरीफ,बाजरा,5 kg/acre,3-4 सिंचाई,NPK 60:30:30"
"चिकनी,रबी,मटर,25 kg/acre,4-5 सिंचाई,NPK 40:60:40"
