Crop,Min_Temperature_C,Max_Temperature_C,Min_Rainfall_mm,Max_Rainfall_mm,Soil_Type
Rice,20,35,1000,2000,Clay and Loam
Wheat,10,25,50,100,Well-drained Loam
Cotton,21,30,500,1000,Black Cotton Soil
Sugarcane,20,32,1000,1500,Deep Rich Loamy Soil
Maize,18,27,500,800,Alluvial Soil
Jute,24,38,1500,2000,Alluvial Soils
Tea,20,30,1500,3000,Well-drained acidic soil
Coffee,15,28,1500,2500,Well-drained loamy soil
Mustard,10,25,250,400,Sandy Loam
soil_type,season,crop,seed_rate,irrigation_requirement,fertilizer_requirement
loam,kharif,rice,25 kg/acre,8-10 irrigations,NPK 80:40:40
loam,rabi,wheat,40 kg/acre,4-5 irrigations,NPK 120:60:40
sandy,kharif,maize,8 kg/acre,5-6 irrigations,NPK 100:50:50
clay,rabi,mustard,4 kg/acre,3-4 irrigations,NPK 80:40:40
loam,summer,groundnut,40 kg/acre,6-7 irrigations,NPK 60:30:30
sandy,kharif,green_gram,8 kg/acre,3-4 irrigations,NPK 40:20:20
clay,rabi,chickpea,30 kg/acre,2-3 irrigations,NPK 40:60:40
loam,kharif,cotton,2 kg/acre,6-8 irrigations,NPK 120:60:60
sandy,summer,watermelon,1 kg/acre,5-6 irrigations,NPK 60:30:30
loam,rabi,potato,800 kg/acre,6-7 irrigations,NPK 150:75:75
sandy,kharif,sorghum,10 kg/acre,4-5 irrigations,NPK 80:40:40
clay,rabi,barley,35 kg/acre,3-4 irrigations,NPK 100:50:50
loam,summer,moong,10 kg/acre,3-4 irrigations,NPK 40:20:20
sandy,kharif,bajra,5 kg/acre,3-4 irrigations,NPK 60:30:30
clay,rabi,peas,25 kg/acre,4-5 irrigations,NPK 40:60:40
