topic,question,answer
1. Wheat (गेहूं),"What is Rusts (Leaf, Stem, and Stripe Rust)?","Symptoms**: Yellow, orange, or reddish-brown pustules on leaves, stems, and heads. Look for powdery spores. Prevention**: Plant resistant varieties. Ensure adequate row spacing to improve air circulation. Chemical Control**: Apply fungicides containing Propiconazole or Tebuconazole at the first sign of disease. Organic Control**: Neem oil extract (5%) spray acts as a mild preventative."
1. Wheat (गेहूं),What is Powdery Mildew?,Symptoms**: White to gray powdery patches on the upper surface of lower leaves. Prevention**: Avoid excessive nitrogen fertilizer. Control**: Apply wettable sulfur (2-3g/liter of water) or use systemic fungicides like Triadimefon.
2. Rice (चावल/धान),What is Rice Blast (Pyricularia oryzae)?,"Symptoms**: Spindle-shaped spots on leaves with gray centers and dark borders. Causes ""neck rot"" where the panicle breaks. Prevention**: Avoid excessive and delayed nitrogen application. Burn infected crop residue. Maintain proper water levels. Chemical Control**: Tricyclazole (0.6g/liter of water) or Isoprothiolane spraying. Organic Control**: Seed treatment with Pseudomonas fluorescens (10g/kg seed)."
2. Rice (चावल/धान),What is Bacterial Leaf Blight?,"Symptoms**: Water-soaked stripes on leaf blades, which later turn yellow to white as the lesion progresses. Drops of bacterial ooze may be visible in the morning. Prevention**: Grow resistant varieties (e.g., Improved Samba Mahsuri). Do not apply urea during disease outbreak. Chemical Control**: Spray Streptocycline (1g) + Copper Oxychloride (30g) per 10 liters of water."
3. Cotton (कपास),What is Cotton Leaf Curl Virus (CLCuV)?,"Symptoms**: Upward or downward curling of leaves, thickening of veins, and formation of leaf-like structures called ""enations"" on the underside. Vector**: Transmitted by Whitefly. Prevention / Control**: Manage the whitefly population. Spray Imidacloprid or Diafenthiuron. Remove and destroy infected plants immediately. Weed control is essential as weeds often act as alternate hosts."
3. Cotton (कपास),What is Pink Bollworm?,"Symptoms**: Larvae bore into bolls, eating seeds and lint. Rosette flowers (petals tied together). Exit holes visible on older bolls. Control**: Use pheromone traps (5/acre) for monitoring. Spray Quinalphos or Emamectin benzoate or Spinosad at the ETL (Economic Threshold Level)."
4. Sugarcane (गन्ना),"What is Red Rot (The ""Cancer"" of Sugarcane)?","Symptoms**: Drying of top leaves, changes in rind color, and when the stem is split open, the internal tissue is reddened with white transverse bands. Emits an alcoholic or sour smell. Prevention**: Plant setts (cuttings) from healthy, disease-free nurseries. Use resistant varieties (e.g., Co 0238 is highly susceptible in some regions, replace with newer resistant varieties). Treat setts in hot water (50°C for 2 hours) before planting. Control**: Uproot and destroy affected clumps immediately. Practice crop rotation (avoid planting sugarcane in the same field continuously)."
4. Sugarcane (गन्ना),What is Smut?,"Symptoms**: Production of a black, whip-like structure containing fungal spores from the growing apex of the plant. Prevention / Control**: Setts treatment with Propiconazole (1ml/liter water) for 10-15 minutes or Carbendazim. Remove smut whips carefully by covering them with a plastic bag to avoid spore dispersal, then burn them."
General Farming Advice (सामान्य कृषि सलाह),What is - Always test your soil before planting an entire field to know the exact pH and nutrient deficits.?,"Treat seeds with Trichoderma viride to prevent seed-borne and soil-borne fungal diseases. Practice crop rotation with leguminous crops (like mung bean, chickpea) to naturally replenish soil nitrogen. Regularly inspect your fields in the early morning or late evening when pests are most active."
1. Wheat (गेहूं),"What is Rusts (Leaf, Stem, and Stripe Rust)?","Symptoms**: Yellow, orange, or reddish-brown pustules on leaves, stems, and heads. Look for powdery spores. Prevention**: Plant resistant varieties. Ensure adequate row spacing to improve air circulation. Chemical Control**: Apply fungicides containing Propiconazole or Tebuconazole at the first sign of disease. Organic Control**: Neem oil extract (5%) spray acts as a mild preventative."
1. Wheat (गेहूं),What is Powdery Mildew?,Symptoms**: White to gray powdery patches on the upper surface of lower leaves. Prevention**: Avoid excessive nitrogen fertilizer. Control**: Apply wettable sulfur (2-3g/liter of water) or use systemic fungicides like Triadimefon.
2. Rice (चावल/धान),What is Rice Blast (Pyricularia oryzae)?,"Symptoms**: Spindle-shaped spots on leaves with gray centers and dark borders. Causes ""neck rot"" where the panicle breaks. Prevention**: Avoid excessive and delayed nitrogen application. Burn infected crop residue. Maintain proper water levels. Chemical Control**: Tricyclazole (0.6g/liter of water) or Isoprothiolane spraying. Organic Control**: Seed treatment with Pseudomonas fluorescens (10g/kg seed)."
2. Rice (चावल/धान),What is Bacterial Leaf Blight?,"Symptoms**: Water-soaked stripes on leaf blades, which later turn yellow to white as the lesion progresses. Drops of bacterial ooze may be visible in the morning. Prevention**: Grow resistant varieties (e.g., Improved Samba Mahsuri). Do not apply urea during disease outbreak. Chemical Control**: Spray Streptocycline (1g) + Copper Oxychloride (30g) per 10 liters of water."
3. Cotton (कपास),What is Cotton Leaf Curl Virus (CLCuV)?,"Symptoms**: Upward or downward curling of leaves, thickening of veins, and formation of leaf-like structures called ""enations"" on the underside. Vector**: Transmitted by Whitefly. Prevention / Control**: Manage the whitefly population. Spray Imidacloprid or Diafenthiuron. Remove and destroy infected plants immediately. Weed control is essential as weeds often act as alternate hosts."
3. Cotton (कपास),What is Pink Bollworm?,"Symptoms**: Larvae bore into bolls, eating seeds and lint. Rosette flowers (petals tied together). Exit holes visible on older bolls. Control**: Use pheromone traps (5/acre) for monitoring. Spray Quinalphos or Emamectin benzoate or Spinosad at the ETL (Economic Threshold Level)."
4. Sugarcane (गन्ना),"What is Red Rot (The ""Cancer"" of Sugarcane)?","Symptoms**: Drying of top leaves, changes in rind color, and when the stem is split open, the internal tissue is reddened with white transverse bands. Emits an alcoholic or sour smell. Prevention**: Plant setts (cuttings) from healthy, disease-free nurseries. Use resistant varieties (e.g., Co 0238 is highly susceptible in some regions, replace with newer resistant varieties). Treat setts in hot water (50°C for 2 hours) before planting. Control**: Uproot and destroy affected clumps immediately. Practice crop rotation (avoid planting sugarcane in the same field continuously)."
4. Sugarcane (गन्ना),What is Smut?,"Symptoms**: Production of a black, whip-like structure containing fungal spores from the growing apex of the plant. Prevention / Control**: Setts treatment with Propiconazole (1ml/liter water) for 10-15 minutes or Carbendazim. Remove smut whips carefully by covering them with a plastic bag to avoid spore dispersal, then burn them."
General Farming Advice (सामान्य कृषि सलाह),What is - Always test your soil before planting an entire field to know the exact pH and nutrient deficits.?,"Treat seeds with Trichoderma viride to prevent seed-borne and soil-borne fungal diseases. Practice crop rotation with leguminous crops (like mung bean, chickpea) to naturally replenish soil nitrogen. Regularly inspect your fields in the early morning or late evening when pests are most active. # Rice Diseases Rice Blast Disease: Symptoms: Brown spots on leaves with gray center, spindle-shaped lesions Treatment: Tricyclazole 75% WP at 0.6g per liter of water spray Prevention: Use resistant varieties, avoid excessive nitrogen Rice Sheath Blight: Symptoms: Greenish-gray lesions on leaf sheaths, white fungal growth Treatment: Carbendazim 50% WP at 2g per liter of water spray Prevention: Maintain proper plant spacing, avoid waterlogging # Wheat Diseases Wheat Rust (Yellow/Stripe Rust): Symptoms: Yellow-orange pustules on leaves in stripes Treatment: Propiconazole 25% EC at 1ml per liter of water Prevention: Use resistant varieties, timely sowing Wheat Smut: Symptoms: Black powdery spores replace grains Treatment: Carbendazim 2g per kg seed treatment before sowing Prevention: Use certified seeds, crop rotation # Maize Diseases Maize Blight: Symptoms: Brown rectangular lesions on leaves Treatment: Mancozeb 2.5g per liter of water spray Prevention: Crop rotation, resistant hybrids Maize Stem Borer: Symptoms: Holes in stems, dried heart leaves (dead heart) Treatment: Cartap hydrochloride 4% GR at 10kg/acre Prevention: Early sowing, trash mulching # Pulse Crop Diseases Pigeon Pea Wilt: Symptoms: Leaves turn yellow and dry, plant wilts Treatment: Carbendazim 2g per liter of water as soil drench Prevention: Use resistant varieties, crop rotation Chickpea Ascochyta Blight: Symptoms: Brown spots on leaves, pods, and stems Treatment: Mancozeb 2g per liter of water spray Prevention: Use disease-free seeds, timely sowing # Vegetable Crop Diseases Tomato Blight: Symptoms: Dark brown spots on leaves and fruits, white fungal growth Treatment: Mancozeb 2g per liter of water spray Prevention: Stake plants, avoid overhead irrigation Potato Late Blight: Symptoms: Dark spots on leaves, white fungal growth underneath Treatment: Metalaxyl 2g per liter of water spray Prevention: Use certified seed tubers, proper drainage # Fruit Crop Diseases Mango Anthracnose: Symptoms: Black spots on leaves, flowers, and fruits Treatment: Carbendazim 1g per liter of water spray Prevention: Prune infected branches, proper sanitation Citrus Canker: Symptoms: Raised corky spots on leaves, stems, and fruits Treatment: Copper oxychloride 3g per liter of water spray Prevention: Use disease-free nursery plants, windbreaks"
